iter	Passed	Remaining
476	2095	2297
477	2100	2293
478	2104	2288
479	2108	2284
480	2113	2280
481	2117	2276
482	2122	2271
483	2126	2267
484	2130	2262
485	2134	2257
486	2139	2253
487	2143	2249
488	2147	2244
489	2152	2240
490	2156	2235
491	2161	2231
492	2165	2226
493	2169	2222
494	2174	2218
495	2178	2213
496	2182	2208
497	2186	2204
498	2191	2199
499	2195	2195
500	2199	2191
501	2204	2186
502	2208	2182
503	2213	2178
504	2217	2173
505	2221	2169
506	2226	2165
507	2231	2160
508	2235	2155
509	2239	2151
510	2243	2146
511	2247	2142
512	2251	2137
513	2256	2133
514	2260	2128
515	2264	2123
516	2268	2119
517	2272	2114
518	2276	2110
519	2280	2105
520	2284	2100
521	2289	2096
522	2293	2091
523	2297	2087
524	2302	2082
525	2306	2078
526	2310	2074
527	2315	2069
528	2319	2064
529	2323	2060
530	2328	2056
531	2332	2052
532	2337	2047
533	2341	2043
534	2345	2038
535	2350	2034
536	2354	2029
537	2358	2025
538	2362	2021
539	2367	2016
540	2371	2012
541	2376	2007
542	2380	2003
543	2384	1998
544	2388	1994
545	2393	1989
546	2397	1985
547	2401	1980
548	2405	1976
549	2410	1972
550	2414	1967
551	2418	1962
552	2423	1959
553	2427	1954
554	2432	1950
555	2436	1945
556	2440	1941
557	2444	1936
558	2449	1932
559	2454	1928
560	2458	1924
561	2462	1919
562	2467	1915
563	2471	1910
564	2475	1905
565	2479	1901
566	2484	1897
567	2488	1892
568	2492	1888
569	2497	1883
570	2501	1879
571	2506	1875
572	2510	1870
573	2514	1866
574	2520	1862
575	2524	1858
576	2528	1853
577	2532	1849
578	2536	1844
579	2541	1840
580	2545	1835
581	2549	1831
582	2554	1827
583	2558	1822
584	2562	1818
585	2566	1813
586	2571	1809
587	2575	1804
588	2580	1800
589	2584	1796
590	2588	1791
591	2592	1787
592	2596	1782
593	2601	1778
594	2605	1773
595	2610	1769
596	2614	1764
597	2618	1760
598	2623	1756
599	2627	1751
600	2631	1747
601	2635	1742
602	2639	1737
603	2643	1733
604	2648	1728
605	2652	1724
606	2656	1720
607	2661	1715
608	2665	1711
609	2670	1707
610	2674	1702
611	2678	1698
612	2682	1693
613	2686	1689
614	2690	1684
615	2695	1680
616	2699	1675
617	2703	1671
618	2708	1666
619	2712	1662
620	2717	1658
621	2722	1654
622	2726	1650
623	2730	1645
624	2735	1641
625	2739	1636
626	2743	1632
627	2747	1627
628	2752	1623
629	2757	1619
630	2761	1614
631	2765	1610
632	2769	1605
633	2774	1601
634	2778	1596
635	2782	1592
636	2786	1588
637	2791	1583
638	2795	1579
639	2800	1575
640	2804	1570
641	2808	1566
642	2812	1561
643	2817	1557
644	2822	1553
645	2826	1549
646	2831	1544
647	2835	1540
648	2839	1535
649	2843	1531
650	2847	1526
651	2852	1522
652	2856	1517
653	2860	1513
654	2864	1508
655	2869	1504
656	2873	1500
657	2877	1495
658	2882	1491
659	2886	1486
660	2890	1482
661	2894	1478
662	2898	1473
663	2902	1468
664	2907	1464
665	2911	1459
666	2915	1455
667	2919	1451
668	2924	1446
669	2928	1442
670	2932	1438
671	2936	1433
672	2940	1428
673	2945	1424
674	2949	1420
675	2953	1415
676	2958	1411
677	2962	1406
678	2966	1402
679	2971	1398
680	2976	1394
681	2980	1389
682	2984	1385
683	2989	1381
684	2994	1376
685	2998	1372
686	3003	1368
687	3007	1363
688	3011	1359
689	3016	1355
690	3020	1350
691	3024	1346
692	3029	1341
693	3033	1337
694	3038	1333
695	3041	1328
696	3046	1324
697	3050	1319
698	3054	1315
699	3058	1310
700	3063	1306
701	3067	1302
702	3071	1297
703	3075	1293
704	3079	1288
705	3084	1284
706	3088	1279
707	3092	1275
708	3096	1271
709	3101	1266
710	3105	1262
711	3109	1257
712	3114	1253
713	3118	1249
714	3123	1244
715	3127	1240
716	3132	1236
717	3136	1231
718	3141	1227
719	3145	1223
720	3149	1218
721	3154	1214
722	3158	1210
723	3162	1205
724	3166	1201
725	3171	1196
726	3175	1192
727	3179	1187
728	3183	1183
729	3187	1178
730	3191	1174
731	3195	1169
732	3200	1165
733	3204	1161
734	3208	1156
735	3213	1152
736	3217	1148
737	3222	1143
738	3226	1139
739	3230	1135
740	3235	1130
741	3239	1126
742	3243	1121
743	3247	1117
744	3251	1113
745	3256	1108
746	3260	1104
747	3265	1099
748	3269	1095
749	3273	1091
750	3278	1086
751	3282	1082
752	3287	1078
753	3291	1073
754	3296	1069
755	3300	1065
756	3304	1060
757	3309	1056
758	3313	1052
759	3318	1047
760	3322	1043
761	3326	1039
762	3330	1034
763	3335	1030
764	3339	1025
765	3343	1021
766	3348	1017
767	3352	1012
768	3356	1008
769	3360	1003
770	3365	999
771	3369	995
772	3373	990
773	3377	986
774	3382	981
775	3386	977
776	3390	973
777	3394	968
778	3398	964
779	3403	959
780	3407	955
781	3412	951
782	3417	947
783	3421	942
784	3425	938
785	3429	933
786	3434	929
787	3438	925
788	3443	920
789	3447	916
790	3451	911
791	3456	907
792	3460	903
793	3464	898
794	3469	894
795	3473	890
796	3477	885
797	3482	881
798	3486	877
799	3491	872
800	3496	868
801	3500	864
802	3504	859
803	3508	855
804	3512	850
805	3517	846
806	3521	842
807	3526	837
808	3530	833
809	3535	829
810	3539	824
811	3544	820
812	3547	816
813	3552	811
814	3557	807
815	3561	803
816	3565	798
817	3569	794
818	3573	789
819	3578	785
820	3582	781
821	3586	776
822	3590	772
823	3595	767
824	3598	763
825	3602	758
826	3606	754
827	3611	750
828	3615	745
829	3620	741
830	3624	737
831	3628	732
832	3633	728
833	3637	724
834	3642	719
835	3646	715
836	3650	710
837	3654	706
838	3658	702
839	3663	697
840	3667	693
841	3671	688
842	3675	684
843	3679	680
844	3684	675
845	3688	671
846	3692	667
847	3697	662
848	3701	658
849	3705	653
850	3710	649
851	3714	645
852	3719	640
853	3723	636
854	3727	632
855	3731	627
856	3736	623
857	3740	619
858	3745	614
859	3749	610
860	3754	606
861	3758	601
862	3763	597
863	3767	592
864	3770	588
865	3775	584
866	3779	579
867	3784	575
868	3788	571
869	3793	566
870	3797	562
871	3801	558
872	3806	553
873	3810	549
874	3815	545
875	3819	540
876	3823	536
877	3828	531
878	3832	527
879	3836	523
880	3841	518
881	3845	514
882	3849	510
883	3853	505
884	3857	501
885	3861	496
886	3865	492
887	3870	488
888	3874	483
889	3878	479
890	3882	474
891	3887	470
892	3891	466
893	3896	461
894	3900	457
895	3904	453
896	3909	448
897	3913	444
898	3917	440
899	3921	435
900	3925	431
901	3930	427
902	3934	422
903	3939	418
904	3943	413
905	3947	409
906	3952	405
907	3957	400
908	3961	396
909	3965	392
910	3969	387
911	3973	383
912	3978	379
913	3982	374
914	3987	370
915	3992	366
916	3997	361
917	4001	357
918	4005	353
919	4010	348
920	4014	344
921	4019	340
922	4023	335
923	4028	331
924	4033	327
925	4037	322
926	4042	318
927	4046	313
928	4050	309
929	4054	305
930	4058	300
931	4062	296
932	4067	292
933	4070	287
934	4075	283
935	4079	278
936	4083	274
937	4088	270
938	4092	265
939	4097	261
940	4101	257
941	4106	252
942	4110	248
943	4114	244
944	4118	239
945	4122	235
946	4127	230
947	4131	226
948	4135	222
949	4139	217
950	4144	213
951	4148	209
952	4152	204
953	4156	200
954	4160	196
955	4164	191
956	4170	187
957	4174	183
958	4179	178
959	4183	174
960	4187	169
961	4191	165
962	4196	161
963	4200	156
964	4204	152
965	4208	148
966	4213	143
967	4217	139
968	4221	135
969	4226	130
970	4230	126
971	4235	122
972	4239	117
973	4243	113
974	4248	108
975	4252	104
976	4256	100
977	4261	95
978	4265	91
979	4269	87
980	4274	82
981	4278	78
982	4282	74
983	4287	69
984	4291	65
985	4296	60
986	4300	56
987	4304	52
988	4309	47
989	4313	43
990	4317	39
991	4321	34
992	4326	30
993	4330	26
994	4335	21
995	4339	17
996	4343	13
997	4347	8
998	4352	4
999	4355	0
